       4096          0	!          0         
       4096          0	!          1         
       4096          0	!          2         
       4096          0	!          3         
       4096          0	!          4         
       4096          0	!          5         
       4096          0	!          6         
       4096          0	!          7         
       4096          0	!          8         
       4096          0	!          9         
       4096          0	!          10        
       4096          0	!          11        
       4096          0	!          12        
       4096          0	!          13        
       4096          0	!          14        
       4096          0	!          15        
       4096          0	!          16        
       4096          0	!          17        
       4096          0	!          18        
       4096          0	!          19        
       4096          0	!          20        
       4096          0	!          21        
       4096          0	!          22        
       4096          0	!          23        
       4096          0	!          24        
       4096          0	!          25        
       4096          0	!          26        
       4096          0	!          27        
       4096          0	!          28        
       4096          0	!          29        
       4096          0	!          30        
       4096          0	!          31        
       4096          0	!          32        
       4096          0	!          33        
       4096          0	!          34        
       4096          0	!          35        
       4096          0	!          36        
       4096          0	!          37        
       4096          0	!          38        
       4096          0	!          39        
       4096          0	!          40        
       4096          0	!          41        
       4096          0	!          42        
       4096          0	!          43        
       4096          0	!          44        
       4096          0	!          45        
       4096          0	!          46        
       4096          0	!          47        
       4096          0	!          48        
       4096          0	!          49        
       4096          0	!          50        
       4096          0	!          51        
       4096          0	!          52        
       4096          0	!          53        
       4096          0	!          54        
       4096          0	!          55        
       4096          0	!          56        
       4096          0	!          57        
       4096          0	!          58        
       4096          0	!          59        
       4096          0	!          60        
       4096          0	!          61        
       4096          0	!          62        
       4096          0	!          63        
       4096          0	!          64        
       4096          0	!          65        
       4096          0	!          66        
       4096          0	!          67        
       4096          0	!          68        
       4096          0	!          69        
       4096          0	!          70        
       4096          0	!          71        
       4096          0	!          72        
       4096          0	!          73        
       4096          0	!          74        
       4096          0	!          75        
       4096          0	!          76        
       4096          0	!          77        
       4096          0	!          78        
       4096          0	!          79        
       4096          0	!          80        
       4096          0	!          81        
       4096          0	!          82        
       4096          0	!          83        
       4096          0	!          84        
       4096          0	!          85        
       4096          0	!          86        
       4096          0	!          87        
       4096          0	!          88        
       4096          0	!          89        
       4096          0	!          90        
       4096          0	!          91        
       4096          0	!          92        
       4096          0	!          93        
       4096          0	!          94        
       4096          0	!          95        
